AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P101,P102,P103,P103A,P110,P110A1,P111A,P1121,P1144,P301A,P530A,P1$01,P1$02,P1$03,P1$04,P1$05,P1$06,P1$07,P1$08,P1$09,P1$10,P1$11,P1$12,P1$13,P1$14,P1$15,P1$16,P1$17,P1$18,P1$19,P1$20,P1$21,P6
2020,01,005009,012,11,010101,4,4,1,3,5,4,1,1,1,1,1,6,1676,1,1,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3
2020,01,005009,012,11,010101,4,4,1,3,5,4,1,1,1,1,1,6,1676,1,1,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3
2020,01,005009,041,11,010101,4,4,1,1,5,1,1,1,1,1,0,1,1269,2,2,2,2,2,2,3,2,2,1,2,2,1,2,2,3,2,2,1,2,2,3
2020,01,005009,041,11,010101,4,4,1,1,5,1,1,1,1,1,0,10,1269,2,2,2,2,2,2,3,2,2,1,2,2,1,2,2,3,2,2,1,2,2,3
2020,01,005009,098,11,010101,4,4,4,1,5,1,2,1,2,1,1,5,336,2,2,3,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,2,1,2,3
2020,01,005009,098,11,010101,4,4,4,1,5,1,2,1,2,1,1,6,336,2,2,3,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,2,1,2,3
2020,01,005009,098,11,010101,4,4,4,1,5,1,2,1,2,1,1,8,336,2,2,3,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,2,1,2,3
2020,01,005009,098,11,010101,4,4,4,1,5,1,2,1,2,1,1,9,336,2,2,3,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,2,1,2,3
2020,01,005009,098,11,010101,4,4,4,1,5,1,2,1,2,1,1,5,336,2,2,3,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,2,1,2,3
2020,01,005009,098,11,010101,4,4,4,1,5,1,2,1,2,1,1,2,336,2,2,3,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,2,1,2,3
2020,01,005015,007,11,010101,4,4,1,3,5,4,1,1,1,1,1,8,1805,1,1,2,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4
2020,01,005015,007,11,010101,4,4,1,3,5,4,1,1,1,1,1,8,31,1,1,2,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4
2020,01,005015,007,11,010101,4,4,1,3,5,4,1,1,1,1,1,8,1805,1,1,2,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4
2020,01,005015,007,11,010101,4,4,1,3,5,4,1,1,1,1,1,8,31,1,1,2,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4
2020,01,005015,007,11,010101,4,4,1,3,5,4,1,1,1,1,1,5,1805,1,1,2,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4
2020,01,005015,007,11,010101,4,4,1,3,5,4,1,1,1,1,1,5,31,1,1,2,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4
2020,01,005015,007,11,010101,4,4,1,3,5,4,1,1,1,1,1,2,1805,1,1,2,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4
2020,01,005015,007,11,010101,4,4,1,3,5,4,1,1,1,1,1,2,31,1,1,2,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4
2020,01,005015,085,11,010101,4,4,1,3,5,3,1,1,1,1,0,4,164,3,3,3,2,2,2,2,3,3,4,3,2,2,2,2,3,2,3,3,3,2,3
2020,01,005015,085,11,010101,4,4,1,3,5,3,1,1,1,1,0,5,164,3,3,3,2,2,2,2,3,3,4,3,2,2,2,2,3,2,3,3,3,2,3
2020,01,005015,085,11,010101,4,4,1,3,5,3,1,1,1,1,0,11,164,3,3,3,2,2,2,2,3,3,4,3,2,2,2,2,3,2,3,3,3,2,3
2020,01,005015,085,11,010101,4,4,1,3,5,3,1,1,1,1,0,3,164,3,3,3,2,2,2,2,3,3,4,3,2,2,2,2,3,2,3,3,3,2,3
2020,01,005032,014,11,010201,7,4,1,3,5,4,1,1,1,1,1,8,5973,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,3
2020,01,005032,014,11,010201,7,4,1,3,5,4,1,1,1,1,1,8,5973,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,3
2020,01,005032,014,11,010201,7,4,1,3,5,4,1,1,1,1,1,3,5973,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,3
2020,01,005032,014,11,010201,7,4,1,3,5,4,1,1,1,1,1,1,5973,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,2,2,1,1,2,3
2020,01,005032,047,11,010201,7,4,1,3,5,4,1,2,1,1,0,3,448,5,3,3,3,3,3,3,5,3,3,3,5,1,5,2,1,5,5,5,5,5,3
2020,01,005032,047,11,010201,7,4,1,3,5,4,1,2,1,1,0,5,448,5,3,3,3,3,3,3,5,3,3,3,5,1,5,2,1,5,5,5,5,5,3
